id,name,area,address,postcode,lon,lat,phone,capacity,women,usage,multi,theme,management,website,email,phone_enhanced,facebook,instagram,youtube,twitter,linkedin,contact_page,MuslimsInBritainData
2062,Friday Prayer (Jummah Salah),North Shields,191 Rake Ln,NE29 8EQ,-1.4679478,55.0247149,Unavailable,Unavailable,not available,J,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2063,Stoke on Trent Diyanet Camii,Stoke-on-Trent,44 Jasper St,ST1 3DA,-2.1751364,53.0211792,Unavailable,Unavailable,not available,not available,False,not available,not available,https://www.instagram.com/stokeontrentdiyanetcami?igsh=MWxwaDF2YnZpZm1sMA==,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2064,Basford Culture Centre,Nottingham,Silverdale Rd,NG7 7EZ,-1.1722112,52.9794242,+44 7970 970205,Unavailable,not available,not available,False,not available,not available,https://www.basfordcc.org/,basfordculturecentre@hotmail.com,not available,https://www.facebook.com/104643672015225,https://www.instagram.com/basfordculture,Unavailable,Unavailable,Unavailable,https://basfordcc.org/contact-us,False
2065,Madrasa Miftah ul Uloom,Blackburn,4 Shear Bank Rd,BB1 8AP,-2.490079,53.7535997,+44 1254 680423,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2066,Masjid Al-Madani,Wednesbury,Unavailable,Unavailable,-2.0150948,52.5540419,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2068,"Al Ehsaan Academy, Community and Educational Centre",Leicester,92-96 Evington Rd,LE2 1HH,-1.1123141,52.6264998,+44 7883 444892,Unavailable,not available,not available,False,not available,not available,https://alehsaanacademy.org/,info@alehsaanacademy.org,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://alehsaanacademy.org/contact-us/,False
2069,Westminster Bangladeshi Association,London,"Pimlico Resource Centre, Aylesford St",SW1V 3RL,-0.133994,51.4887775,+44 7538 677928,Unavailable,not available,not available,False,not available,not available,https://wbauk.org/,wbasw1@aol.com,not available,https://www.facebook.com/www.wbasw1.org.uk/,Unavailable,Unavailable,Unavailable,Unavailable,https://wbauk.org/contact-us/,False
2071,Masjid E Hanif,London,20 Kynoch Rd,N18 3BD,-0.044074,51.6162334,07878 750281,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2072,Faizan-e-Jamal e-Mustafa Darwen,Darwen,45 Railway Rd,BB3 2RJ,-2.4650857,53.6972988,+44 7702 756008,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2073,Muslim Prayer Room O18,London,Dreadnought Building,SE10 9NN,-0.0076098,51.4820355,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2074,B.C.A. Masjid Hartlepool,Hartlepool,77b Murray St,TS26 8RG,-1.2194323,54.6892054,+44 7919 524204,Unavailable,not available,not available,False,not available,not available,http://www.facebook.com/bcahartlepool,Unavailable,not available,https://www.facebook.com/login/,Unavailable,Unavailable,Unavailable,Unavailable,https://www.facebook.com/help/637205020878504,False
2075,N.A.I.K. Trust - Noah's Ark Institute Of Knowledge,Nelson,149 Railway St,BB9 9AJ,-2.2110598,53.8325876,+44 7824 644467,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2077,Masjid Al-Quba,Wolverhampton,Wednesfield Rd,WV10 0EN,-2.1100888,52.5919243,Unavailable,Unavailable,not available,not available,False,not available,not available,https://al-quba.co.uk/,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2078,Masjid Abi Hurairah,Stoke-on-Trent,North Rd,ST6 2BP,-2.1874424,53.0414159,+44 1782 256124,Unavailable,not available,not available,False,not available,not available,http://www.masjidabihurairah.com/,Unavailable,not available,Unavailable,Unavailable,Unavailable,https://twitter.com/masjidhurairah,Unavailable,https://masjidabihurairah.com/contact/,False
2079,Al-Shafeey Centre,Sheffield,3 Balfour Rd,S9 4RX,-1.4193122,53.3882245,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2080,The Eden Centre - Lindley,Huddersfield,31 Acre St,HD3 3DZ,-1.8179537,53.6542623,+44 7593 035912,Unavailable,not available,not available,False,not available,not available,http://www.theedenfoundation.org.uk/,enquiries@theedenfoundation.org.uk,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2081,Lowestoft Muslim Centre,Lowestoft,193 London Rd S,NR33 0DR,1.7444783,52.4675709,+44 7729 828083,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2084,Friday Prayer (Jummah Salah),Grantham,101 Manthorpe Rd,NG31 8DG,-0.6426151,52.9213919,Unavailable,Unavailable,not available,J,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2085,Friday Prayer (Jummah Salah),Halifax,"Calderdale Hospital, Dryclough Ln",HX3 0NH,-1.8576309,53.7051351,Unavailable,Unavailable,not available,J,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2087,Al Tawbah Mosque,Stockport,Unavailable,Unavailable,-2.168185,53.4020173,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2088,Friday Prayer (Jummah Salah),Lincoln,Greetwell Rd,LN2 5QY,-0.5191627,53.2337389,Unavailable,Unavailable,not available,J,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2089,Mosque,London,"Islamic and cultural centre, ED",SE15,-0.0676325,51.4737702,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2090,Hamza centre (community centre),Liverpool,106 Lawrence Rd,L15 0EQ,-2.9324044,53.3963441,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2092,Jummah Salah run by Northolt Islamic Centre,Northolt,"ISLIP COMMUNITY CENTRE, Arnold Rd",UB5 5TB,-0.3783807999999999,51.5487276,+44 7868 000567,Unavailable,not available,J,False,not available,not available,https://www.niclondon.org/home,donations@niclondon.org,not available,https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2Fnortholtislamiccentre&sa=D&sntz=1&usg=AOvVaw20MVT0bf9vJZrYPg_pqMiI,https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Fnortholtislamic&sa=D&sntz=1&usg=AOvVaw2x9I6QWb6bv2KS8To-9-K6,http://www.youtube.com/@northoltislamiccentre7766,Unavailable,Unavailable,https://niclondon.org/contact-us,False
2093,Umm ul Qura Islamic Centre Bradford,Bradford,"93 Greenhill Ln, Leeds Rd",BD3 8DZ,-1.7200835,53.7932591,+44 7868 178141,Unavailable,not available,not available,False,not available,not available,http://ummulqura.org.uk/,info@ummulqura.org.uk,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://ummulqura.org.uk/contact-us/,False
2095,Enfield Town Islamic Centre & Mosque,Enfield,5 Silver St,EN1 3EF,-0.0804189,51.6525707,+44 20 8191 2554,Unavailable,not available,not available,False,not available,not available,http://etic.org.uk/,info@etic.org.uk,not available,http://facebook.com/EnfieldETIC,https://www.instagram.com/eticlondon/,https://www.youtube.com/@EnfieldETIC,https://twitter.com/@eticlondon,Unavailable,https://etic.org.uk/contact-us/,False
2096,Faizan e Madina Masjid,Bradford,Maudsley St,BD3 9LE,-1.7318491,53.7940867,+44 1274 442663,Unavailable,not available,not available,False,not available,not available,http://dawateislamiyorkshire.co.uk/,yorkshire@dawateislamiuk.net,not available,https://www.facebook.com/DIYorkshireReg/,https://www.instagram.com/diyorkshirereg/,https://www.youtube.com/@DIYorkshireReg,https://twitter.com/DIYorkshireReg,Unavailable,https://dawateislamiyorkshire.co.uk/contact-us/,False
2097,Ar-Rahmah Academy,Chorley,Park Rd,PR7 1QN,-2.6316805,53.6577312,+44 1257 543786,Unavailable,not available,not available,False,not available,not available,http://ar-rahmah.org.uk/,info@ar-rahmah.org.uk,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,http://ar-rahmah.org.uk/contact/,False
2098,Darul Falah Centre,Stoke-on-Trent,Town Rd,ST1 1QE,-2.1748843,53.0280172,+44 1782 301015,Unavailable,not available,not available,False,not available,not available,https://darulfalah.org/,info@darulfalah.org,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://darulfalah.org/contact,False
2099,Baytus Salaam,Hemel Hempstead,Stevenage Rise,HP2 6BH,-0.4564856,51.7725049,+44 1442 967438,Unavailable,not available,not available,False,not available,not available,http://www.dbwa.org.uk/,Unavailable,not available,https://www.facebook.com/HemelDBWA/,Unavailable,https://www.youtube.com/channel/UCKinzzrpHPzlOWmtEmjHlXg,Unavailable,Unavailable,http://dbwa.org.uk/contact/,False
2101,‏Dungannon Mosque,Dungannon,"Muslim Community hall, 12 Ballygawley Rd",BT70 1EL,-6.777243599999999,54.5034326,+44 7817 543547,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2102,Friday Prayer,Luton,66 Eaton Green Rd,LU2 9JE,-0.3769671,51.8859845,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2103,Nawracy Mosque Ipswich,Ipswich,5 Woodbridge Rd,IP4 2EA,1.1592943,52.0583624,07383 834538,Unavailable,not available,not available,False,not available,not available,https://nawracymosque.org/,info@nawracymosque.org,not available,https://facebook.com/nawracymosque/,https://instagram.com/nawracymosque/,Unavailable,Unavailable,Unavailable,https://nawracymosque.org/contact-us/,False
2104,Quiet Room ( Prayer Room ),Leeds,9a Albion St,LS1 5AY,-1.5453515,53.7971117,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2105,Littlehampton mosque,Littlehampton,St Martin's Ln,Unavailable,-0.5426352,50.8102648,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2106,Ummah Community Centre,Batley,56 Wellington St,WF17 5HU,-1.6333527,53.7123937,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2107,Jummah Salah in Multi-Faith Prayer Room (in Ladysmith building),Ashton-under-Lyne,Unavailable,Unavailable,-2.0717455,53.4918517,+44 161 922 5333,Unavailable,not available,J,False,not available,not available,https://tamesideandglossopicft.nhs.uk/patients-and-visitors/advice-and-support/chaplaincy,chaplaincy@tgh.nhs.uk,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://www.tamesideandglossopicft.nhs.uk/about-us/contact-us,False
2108,Norwich Muslim Centre,Norwich,391 Dereham Rd,NR5 8QJ,1.2543736,52.6373932,Unavailable,Unavailable,not available,not available,False,not available,not available,https://norwichmuslimcentre.org/,info@norwichmuslimcentre.org,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://norwichmuslimcentre.org/contact/,False
2109,Bow West Organisation,London,73 Strahan Rd,E3 5DA,-0.0376293,51.5289861,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2110,Nottingham Council Of Mosques,Nottingham,"Office 6, Jarodale House, 7 Gregory Blvd",NG7 6LB,-1.1577213,52.9682231,Unavailable,Unavailable,not available,not available,False,not available,not available,http://nottinghammosques.org.uk/,info@nottinghammosques.org.uk,not available,https://www.facebook.com/NottmMosques/?ti=as,Unavailable,Unavailable,https://twitter.com/NottmMosques?t=p9ll5QtnGiDkU--3Sq49XQ&s=09,Unavailable,https://nottinghammosques.org.uk/contact/,False
2111,مسجد عمر - Masjid Umar - Islamic Centre Scotstoun,Glasgow,27-29 Burnham Rd,G14 0XA,-4.363709699999999,55.8821994,+44 7412 622820,Unavailable,not available,not available,False,not available,not available,https://umarmasjid.co.uk/,info@umarmasjid.co.uk,not available,https://www.facebook.com/pages/category/Mosque/Islamic-Centre-Scotstoun-106181184083589/,Unavailable,https://www.youtube.com/watch?v=hZXWDOZoDhk&ab_channel=IslamicCentreScotstoun,Unavailable,Unavailable,https://umarmasjid.co.uk/contact/,False
2113,Jumma Prayers Only,Farnham,Hale Village Hall,GU9 0HN,-0.797697,51.2332872,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2114,majlis e ulama e shia europe,Crowthorne,"Unit 20, Wellington Business Park, Duke's Ride",RG45 6LS,-0.8174404,51.3661308,07861 897160,Unavailable,not available,not available,False,not available,not available,http://www.majlis.org.uk/,Unavailable,not available,https://www.facebook.com/MajlisUlamaShia/,http://instagram.com/MajlisUlamaShia/,https://youtube.com/MajlisUlamaShia/,https://twitter.com/MajlisUlamaShia/,https://www.linkedin.com/shareArticle?mini=true&url=https://majlis.org.uk/contact-us/&title=Contact+Us,https://majlis.org.uk/contact-us/,False
2115,Islamic Prayer Room,London,204 Earls Ct Rd,SW5 9QF,-0.1938587,51.4925626,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2116,Faizan E Madina Jamia Masjid,Dewsbury,13 Pilgrim Ave,Unavailable,-1.6534752,53.6876508,07936 514097,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2118,Newham Bengali Community Trust,London,"unit 3, 2 Barking Rd",E6 3BP,0.0382072,51.5301107,+44 20 8552 9777,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2119,An-Nasar Mosque,Leicester,"6, 6 Mostyn St",LE3 6DT,-1.1605966,52.6334129,+44 7936 734294,Unavailable,not available,not available,False,not available,not available,https://thehelpfoundation.org.uk/musallah-masjid,thehelpfoundationleics@gmail.com,not available,http://facebook.com/111341031102097,http://instagram.com/thehelpfoundation,Unavailable,Unavailable,Unavailable,Unavailable,False
2120,Hosseinieh Foundation Darul Imaan,Bristol,4 Apsley St,BS5 6SP,-2.5591425,51.472847,+44 117 955 1550,Unavailable,not available,not available,False,not available,not available,https://www.facebook.com/hosseiniehfoundationbristol,Unavailable,not available,https://www.facebook.com/login/,Unavailable,Unavailable,Unavailable,Unavailable,https://www.facebook.com/help/637205020878504,False
2121,Friday Prayer,Hereford,1 Stonebow Rd,HR1 2BN,-2.706265,52.057334,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2124,Masjid مسجد Bracknell Islamic Cultural Society,Bracknell,UNIT C Waterside Pk,RG12 1RB,-0.774538,51.4152091,+44 1344 231044,Unavailable,not available,not available,False,not available,not available,http://www.bracknell-ics.org.uk/,info@bracknell-ics.org.uk,not available,https://www.facebook.com/ContactBICS/,Unavailable,https://www.youtube.com/channel/UCRYXsA_dzolj4db9uuHOI2g/videos,https://twitter.com/ContactBics,Unavailable,https://www.bracknell-ics.org.uk/contact/,False
2125,Ali Masjid,Nottingham,Beechdale Rd,NG8 3LH,-1.1917758,52.9612445,+44 115 969 0800,Unavailable,not available,not available,False,not available,not available,https://www.facebook.com/AspleyMasjid/,Unavailable,not available,//www.facebook.com/,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2126,Faizan-e-Farooq-e-Azam,Romford,148 Somerville Rd,RM6 5AT,0.1276128,51.5803052,020 3092 2035,Unavailable,not available,not available,False,not available,not available,http://www.dawateislami.net/,support@dawateislami.net,not available,https://www.facebook.com/dawateislami.net,https://www.instagram.com/dawateislamiofficial,https://www.youtube.com/embed/kGMYCEd4UDE?rel=0,https://twitter.com/madanichannel,Unavailable,http://dawateislami.net/#pills-contact,False
2127,Ferham masjid,Rotherham,96 Belmont St,S61 1BG,-1.3769532,53.4279822,+44 7894 413789,Unavailable,not available,not available,False,not available,not available,https://www.facebook.com/profile.php?id=100066683461955,Unavailable,not available,//www.facebook.com/,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2129,Friday Prayer (Jummah Salah),Birmingham,"Royal Orthopaedic Hospital, The Woodlands, Bristol Rd S",B31 2AP,-1.960956,52.4208484,Unavailable,Unavailable,not available,J,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2130,Prayer room (Contemplation room) at Bangladesh High commission,London,28 Queen's Gate,SW7 5JA,-0.1799377,51.4985801,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2131,Anatolian Masjid/Mosque,Portsmouth,Unavailable,Unavailable,-1.077024,50.8071086,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2132,Assalam Mosque,Maidstone,170 Union St,ME14 1EE,0.5287221,51.2756358,+44 7427 649328,Unavailable,not available,not available,False,not available,not available,https://assalamcentre.co.uk/,info@assalamcentre.co.uk,not available,Unavailable,Unavailable,Unavailable,Unavailable,https://www.linkedin.com/shareArticle?mini=true&url=https://assalamcentre.co.uk/,https://assalamcentre.co.uk/contact-us/,False
2133,Mill Lane Muslim Association,Romford,Mill Ln,RM6 6RS,0.1392561,51.5755245,07540 749546,Unavailable,not available,not available,False,not available,not available,http://www.mill-lane-muslim-association.org.uk/,Unavailable,not available,http://www.facebook.com/Facebook,Unavailable,http://www.youtube.com/YouTube,http://twitter.com/Twitter,Unavailable,http://mill-lane-muslim-association.org.uk/1_4_contact.html,False
2134,Nile Centre Muslim Prayer Room,London,131 Broadley St,NW8 8BA,-0.1712335999999999,51.5213508,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2135,Jummah in Chorleywood,Rickmansworth,"Chorleywood War Memorial Hall, Common Rd",WD3 5LN,-0.5169716,51.6547618,Unavailable,Unavailable,not available,J,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2136,Faizan E Madina Masjid Nuneaton,Nuneaton,2A Henry St,CV11 5SQ,-1.4686718,52.5156767,+44 7535 419840,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2137,Inverclyde Muslim Centre,Greenock,9 Laird St,PA15 1LB,-4.7610283,55.9506164,+44 7944 675962,Unavailable,not available,not available,False,not available,not available,https://masjidbox.com/prayer-times/inverclyde-muslim-centre,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2139,SICM,Harrow,39 Gloucester Rd,HA1 4PR,-0.3598367999999999,51.5868144,Unavailable,Unavailable,not available,not available,False,not available,not available,https://sicm.org.uk/,info@sicm.org.uk,not available,https://www.facebook.com/sicm.mahfil.ali/,https://www.instagram.com/sicm_mahfil_ali/,http://www.youtube.com/sicmtv,https://twitter.com/sicm_mahfil_ali,Unavailable,https://sicm.org.uk/contact-us/,False
2140,Jemia Mosque,Rotherham,Chapel Walk,S60 1EX,-1.364348,53.4310538,+44 7799 325444,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2141,Siddiqa Nawaz Mosque & Community Centre,Bungay,Sun Rd,NR35 2RW,1.4597438,52.471625,+44 7792 184465,Unavailable,not available,not available,False,not available,not available,https://www.jamiaalmaarif.co.uk/broome-mosque/,info@jamiaalmaarif.co.uk,not available,https://www.facebook.com/jamiaalmaarif/,https://www.instagram.com/jamiaalmaarif/,https://www.youtube.com/channel/UCUkUpnYfrdliJ6EsJWqk3gw,https://twitter.com/JamiaAlmaarif?s=09,Unavailable,https://jamiaalmaarif.co.uk/contact-us,False
2142,Friday Prayer,Ormskirk,Unavailable,L39 4QU,-2.8725682,53.5644521,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
2143,The Al Noor Leeds,Leeds,40 Cowper Mount,LS9 7BB,-1.5103293,53.8093113,Unavailable,Unavailable,not available,not available,False,not available,not available,Unavailable,Unavailable,not available,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,False
